                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2367,                 1.1036,                 1.2369,                0.85529,                0.76559,                0.84036,                0.53811,                  1.087,                 0.6136,                 1.0588,              0.0033256,              0.0033256,              0.0033256
                      2,                 1.1574,                0.76771,                 1.1552,                 0.8585,                0.72573,                 0.8084,                0.49073,                 1.2147,                0.69077,                  1.127,               0.006593,               0.006593,               0.006593
                      3,                 1.2634,                0.87865,                 1.1985,                0.82174,                0.68251,                0.76338,                0.43828,                 1.3647,                0.82989,                 1.2185,              0.0097944,              0.0097944,              0.0097944
                      4,                 1.3549,                0.95666,                 1.2421,                0.80705,                0.66229,                0.73947,                0.42547,                  1.407,                0.89083,                 1.2624,               0.009703,               0.009703,               0.009703
                      5,                 1.3278,                0.93107,                 1.2237,                0.82663,                0.67156,                0.75811,                0.44711,                 1.3264,                0.83495,                 1.1881,               0.009604,               0.009604,               0.009604
                      6,                 1.2982,                0.90205,                  1.211,                0.85774,                0.69649,                 0.7809,                0.46405,                 1.3111,                0.80097,                 1.1846,               0.009505,               0.009505,               0.009505
                      7,                 1.2764,                0.88612,                 1.2026,                0.85669,                0.73082,                0.80762,                0.49197,                 1.2519,                0.75411,                 1.1471,               0.009406,               0.009406,               0.009406
                      8,                 1.2483,                0.86071,                 1.1883,                0.86963,                0.74649,                0.82792,                0.50846,                 1.2183,                0.70514,                 1.1319,               0.009307,               0.009307,               0.009307
                      9,                  1.236,                0.84419,                 1.1828,                0.87229,                0.74096,                0.82691,                0.50782,                 1.2085,                0.74165,                 1.1244,               0.009208,               0.009208,               0.009208
                     10,                 1.2152,                0.82825,                 1.1714,                0.87789,                0.74869,                0.83229,                0.51914,                 1.1794,                0.69949,                 1.1092,               0.009109,               0.009109,               0.009109
                     11,                 1.2073,                0.82365,                 1.1676,                0.87505,                0.74815,                0.82837,                0.51869,                 1.1869,                 0.6912,                 1.1115,                0.00901,                0.00901,                0.00901
                     12,                 1.1969,                0.80428,                 1.1605,                0.87745,                 0.7456,                0.83256,                0.52199,                  1.185,                0.68308,                 1.1137,               0.008911,               0.008911,               0.008911
                     13,                 1.1788,                0.79495,                 1.1534,                0.88272,                0.75316,                0.83887,                0.52718,                 1.1668,                 0.6798,                 1.1025,               0.008812,               0.008812,               0.008812
                     14,                 1.1695,                0.78581,                 1.1551,                0.88498,                 0.7687,                0.84781,                0.53865,                 1.1375,                 0.6626,                 1.0883,               0.008713,               0.008713,               0.008713
                     15,                 1.1564,                0.77952,                 1.1479,                0.88807,                0.76798,                0.84892,                0.54227,                 1.1282,                0.64716,                 1.0837,               0.008614,               0.008614,               0.008614
                     16,                 1.1471,                0.76882,                 1.1405,                0.88735,                0.76611,                0.85155,                0.54498,                 1.1224,                0.65617,                 1.0837,               0.008515,               0.008515,               0.008515
                     17,                 1.1419,                0.75688,                 1.1357,                 0.8971,                0.77443,                0.85744,                0.54691,                 1.1254,                 0.6366,                 1.0805,               0.008416,               0.008416,               0.008416
                     18,                 1.1313,                0.74524,                  1.133,                 0.8923,                0.77715,                0.85716,                  0.553,                 1.0971,                0.64419,                 1.0702,               0.008317,               0.008317,               0.008317
                     19,                 1.1289,                0.74214,                 1.1283,                0.89225,                0.77352,                0.85378,                0.54952,                  1.122,                 0.6382,                  1.082,               0.008218,               0.008218,               0.008218
                     20,                 1.1196,                0.73796,                 1.1275,                 0.8986,                0.78313,                0.86326,                0.55921,                 1.0995,                0.60528,                  1.076,               0.008119,               0.008119,               0.008119
                     21,                 1.1098,                0.72837,                 1.1266,                 0.8995,                0.77716,                0.85988,                0.55773,                 1.0962,                 0.6092,                 1.0721,                0.00802,                0.00802,                0.00802
                     22,                 1.1062,                 0.7267,                 1.1203,                0.89705,                0.79048,                0.87077,                0.56656,                 1.0875,                0.59913,                 1.0596,               0.007921,               0.007921,               0.007921
                     23,                 1.0995,                0.72012,                 1.1193,                0.90209,                 0.7857,                   0.87,                 0.5675,                 1.0939,                0.60392,                 1.0646,               0.007822,               0.007822,               0.007822
                     24,                 1.0893,                0.70825,                  1.114,                0.90253,                0.79255,                 0.8709,                0.56478,                 1.0864,                0.59547,                 1.0611,               0.007723,               0.007723,               0.007723
                     25,                 1.0853,                0.70642,                 1.1119,                 0.9105,                0.78964,                0.87352,                0.57468,                 1.0762,                0.58478,                 1.0581,               0.007624,               0.007624,               0.007624
                     26,                 1.0829,                 0.7034,                 1.1105,                0.90268,                0.79022,                0.86937,                0.56606,                 1.0882,                0.60049,                  1.063,               0.007525,               0.007525,               0.007525
                     27,                 1.0737,                0.69216,                 1.1097,                0.89965,                0.80123,                0.87696,                0.57815,                 1.0639,                0.57621,                 1.0548,               0.007426,               0.007426,               0.007426
                     28,                 1.0663,                0.69093,                 1.1054,                0.91854,                0.80464,                0.88329,                0.58291,                 1.0613,                 0.5728,                 1.0533,               0.007327,               0.007327,               0.007327
                     29,                 1.0644,                0.68196,                  1.103,                0.91098,                0.80566,                0.88162,                0.58271,                 1.0645,                0.56694,                 1.0545,               0.007228,               0.007228,               0.007228
                     30,                 1.0652,                0.68288,                 1.1039,                0.90618,                0.80375,                0.87861,                0.58241,                 1.0547,                0.56696,                 1.0499,               0.007129,               0.007129,               0.007129
                     31,                 1.0579,                0.67683,                 1.0978,                 0.9104,                0.80337,                 0.8803,                0.58043,                 1.0553,                0.56353,                 1.0516,                0.00703,                0.00703,                0.00703
                     32,                 1.0521,                0.67491,                 1.0998,                0.91071,                0.80247,                0.88068,                0.58341,                 1.0533,                0.56347,                 1.0531,               0.006931,               0.006931,               0.006931
                     33,                 1.0535,                0.67147,                 1.0949,                0.91149,                0.80902,                0.88377,                0.58687,                 1.0416,                 0.5576,                 1.0471,               0.006832,               0.006832,               0.006832
                     34,                 1.0468,                0.66861,                 1.0944,                0.90943,                0.80904,                0.88568,                 0.5919,                 1.0354,                0.54866,                 1.0397,               0.006733,               0.006733,               0.006733
