                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1345,                 2.3827,                 1.9532,                0.47204,                0.44257,                0.41688,                0.12433,                 2.4703,                 1.7669,                 1.8361,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.9518,                 1.9941,                 1.6989,                0.32062,                0.28476,                0.20561,                0.06203,                 2.6948,                 2.3975,                 2.0292,              0.0065943,              0.0065943,              0.0065943
                      3,                 2.1168,                 2.2444,                 1.8104,                0.18747,                0.13571,                 0.0635,                0.01617,                 3.0037,                 3.1881,                  2.316,              0.0097957,              0.0097957,              0.0097957
                      4,                 2.2568,                 2.5188,                 1.9477,                0.09158,                0.11568,                0.03081,                0.00812,                  3.054,                 4.2246,                 2.4775,               0.009703,               0.009703,               0.009703
                      5,                 2.1825,                 2.4452,                 1.9129,                0.24203,                0.17464,                0.11186,                0.02802,                 2.9695,                 2.8869,                 2.3234,               0.009604,               0.009604,               0.009604
                      6,                 2.1274,                  2.347,                 1.8638,                0.23782,                0.22803,                0.13344,                 0.0339,                 2.8015,                 2.4146,                 2.3352,               0.009505,               0.009505,               0.009505
                      7,                 2.0921,                 2.2658,                 1.8382,                0.30216,                0.28365,                0.19135,                0.05684,                 2.6923,                 2.4171,                 2.1475,               0.009406,               0.009406,               0.009406
                      8,                 2.0509,                 2.1779,                 1.8006,                0.26958,                 0.2703,                0.16353,                0.04642,                 2.6826,                 2.5553,                 2.2146,               0.009307,               0.009307,               0.009307
                      9,                 2.0116,                 2.0997,                 1.7791,                0.26141,                0.34251,                0.17529,                0.04172,                 2.8472,                  2.258,                 2.3144,               0.009208,               0.009208,               0.009208
                     10,                 1.9971,                 2.0608,                 1.7521,                  0.335,                0.34594,                0.22722,                0.05674,                 2.7194,                 2.2403,                 2.1722,               0.009109,               0.009109,               0.009109
                     11,                 1.9476,                 1.9794,                 1.7236,                0.31755,                0.29477,                0.18354,                0.04781,                 2.9275,                 2.2462,                 2.3242,                0.00901,                0.00901,                0.00901
                     12,                 1.9409,                 1.9272,                 1.6954,                0.46483,                 0.3782,                0.32207,                 0.0899,                 2.5713,                 1.9988,                 2.0087,               0.008911,               0.008911,               0.008911
                     13,                 1.9188,                  1.894,                 1.7006,                0.44806,                0.44271,                0.34202,                0.09974,                 2.5063,                 1.8516,                 2.0189,               0.008812,               0.008812,               0.008812
                     14,                 1.9008,                 1.8514,                 1.6786,                0.40568,                0.46051,                0.33311,                0.09421,                  2.539,                 1.9284,                 2.0479,               0.008713,               0.008713,               0.008713
                     15,                 1.8887,                 1.7965,                 1.6705,                0.51159,                0.46162,                0.41345,                0.11991,                 2.5031,                 1.8188,                 2.0202,               0.008614,               0.008614,               0.008614
                     16,                 1.8456,                 1.7539,                 1.6476,                0.50012,                0.49611,                0.45043,                0.13913,                 2.4861,                 1.7262,                 2.0402,               0.008515,               0.008515,               0.008515
                     17,                 1.8488,                  1.755,                   1.65,                0.49495,                0.46221,                0.38495,                0.11587,                 2.4543,                 1.8367,                 1.9585,               0.008416,               0.008416,               0.008416
                     18,                 1.8239,                 1.6945,                 1.6282,                0.55025,                0.51578,                0.48489,                0.14281,                 2.4909,                 1.6903,                 1.9625,               0.008317,               0.008317,               0.008317
                     19,                 1.8247,                 1.6477,                 1.6213,                0.52194,                0.49499,                0.45414,                0.13102,                 2.5585,                 1.6701,                 1.9742,               0.008218,               0.008218,               0.008218
                     20,                   1.81,                 1.6376,                  1.609,                0.54371,                0.48387,                0.43124,                0.12116,                 2.6319,                 1.6552,                 2.0136,               0.008119,               0.008119,               0.008119
                     21,                 1.7882,                 1.6029,                 1.5884,                0.58777,                0.53131,                0.51167,                0.16482,                 2.4303,                 1.5604,                 1.8734,                0.00802,                0.00802,                0.00802
                     22,                 1.7892,                 1.5924,                  1.596,                0.63046,                0.49388,                0.52276,                0.16222,                 2.4632,                 1.6012,                 1.9197,               0.007921,               0.007921,               0.007921
                     23,                  1.765,                 1.5622,                 1.5763,                0.57912,                0.52503,                 0.4704,                0.14418,                 2.5057,                 1.5917,                 1.9593,               0.007822,               0.007822,               0.007822
                     24,                  1.758,                 1.5081,                 1.5714,                0.63066,                0.56221,                0.54101,                0.16892,                  2.406,                 1.4637,                 1.8603,               0.007723,               0.007723,               0.007723
                     25,                 1.7477,                  1.486,                 1.5676,                0.64592,                0.57063,                0.58827,                0.20024,                 2.3684,                 1.4054,                 1.8611,               0.007624,               0.007624,               0.007624
                     26,                 1.7365,                 1.4766,                 1.5585,                0.60815,                0.55244,                0.53427,                0.17852,                  2.495,                 1.4377,                 1.9261,               0.007525,               0.007525,               0.007525
                     27,                 1.7228,                 1.4547,                 1.5494,                0.62086,                0.63025,                0.60807,                0.19714,                 2.3645,                 1.4043,                  1.818,               0.007426,               0.007426,               0.007426
                     28,                 1.7223,                 1.4627,                 1.5341,                0.63324,                0.61267,                 0.5809,                0.19646,                 2.3463,                 1.3994,                 1.8111,               0.007327,               0.007327,               0.007327
