                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5981,                  1.664,                 1.5488,                0.70412,                0.71084,                0.71465,                0.38222,                  1.378,                 1.0963,                 1.3511,              0.0033268,              0.0033268,              0.0033268
                      2,                 1.5251,                 1.3942,                 1.4421,                0.66161,                0.51807,                0.58547,                0.29996,                 1.6153,                 1.4713,                 1.5293,              0.0065942,              0.0065942,              0.0065942
                      3,                 1.6864,                  1.608,                 1.5574,                 0.4592,                0.43029,                0.35001,                0.13308,                 2.0932,                 2.2431,                 2.0166,              0.0097956,              0.0097956,              0.0097956
                      4,                 1.8403,                 1.8185,                 1.6763,                0.42491,                 0.5036,                0.42917,                0.17243,                 1.9042,                 2.1065,                  1.825,               0.009703,               0.009703,               0.009703
                      5,                 1.7485,                 1.7227,                 1.6339,                0.53394,                0.45095,                0.42784,                 0.1866,                 1.8966,                 1.7373,                 1.7904,               0.009604,               0.009604,               0.009604
                      6,                 1.7138,                 1.6532,                 1.6087,                0.57987,                 0.5043,                0.48253,                0.23941,                 1.7386,                 1.5516,                 1.7416,               0.009505,               0.009505,               0.009505
                      7,                 1.6632,                 1.5818,                 1.5694,                 0.6354,                0.51979,                0.54068,                0.26087,                  1.606,                 1.5456,                 1.6042,               0.009406,               0.009406,               0.009406
                      8,                 1.6056,                 1.5144,                 1.5237,                0.65115,                0.63167,                0.66678,                0.34006,                 1.6128,                 1.2781,                 1.5796,               0.009307,               0.009307,               0.009307
                      9,                 1.5827,                  1.461,                 1.5074,                0.71376,                0.65749,                0.70823,                0.35762,                 1.5907,                 1.2651,                  1.548,               0.009208,               0.009208,               0.009208
                     10,                 1.5614,                 1.4115,                 1.4958,                0.64137,                0.69564,                0.69247,                0.35779,                 1.5317,                 1.2103,                 1.5476,               0.009109,               0.009109,               0.009109
                     11,                  1.523,                 1.3673,                 1.4666,                0.75913,                 0.6672,                0.72835,                0.40468,                 1.4457,                 1.1669,                 1.4374,                0.00901,                0.00901,                0.00901
                     12,                 1.5156,                 1.3484,                 1.4676,                 0.7295,                0.67769,                 0.7116,                0.38484,                 1.4896,                  1.173,                 1.4708,               0.008911,               0.008911,               0.008911
                     13,                 1.4809,                 1.3054,                 1.4422,                0.78934,                0.71586,                0.77799,                0.42902,                 1.4402,                 1.0642,                 1.4502,               0.008812,               0.008812,               0.008812
                     14,                 1.4676,                 1.2859,                 1.4262,                0.79243,                0.75559,                0.79054,                0.43135,                 1.4111,                  1.026,                 1.4074,               0.008713,               0.008713,               0.008713
                     15,                 1.4454,                 1.2562,                 1.4233,                0.80442,                0.73621,                0.79301,                 0.4348,                 1.4057,                 1.0514,                 1.4067,               0.008614,               0.008614,               0.008614
                     16,                 1.4353,                 1.2501,                 1.4113,                0.81054,                0.74527,                0.80876,                0.46103,                 1.3651,                 1.0154,                 1.3824,               0.008515,               0.008515,               0.008515
                     17,                 1.4228,                 1.2124,                 1.3948,                0.81877,                0.73095,                0.81396,                0.47699,                 1.3489,                 0.9671,                  1.372,               0.008416,               0.008416,               0.008416
                     18,                 1.4085,                 1.2076,                 1.3899,                0.78119,                 0.7315,                0.78925,                0.46142,                 1.3392,                0.98677,                 1.3897,               0.008317,               0.008317,               0.008317
                     19,                 1.4039,                 1.1862,                 1.3861,                0.78523,                0.77625,                0.82475,                0.48835,                 1.3194,                0.93851,                 1.3668,               0.008218,               0.008218,               0.008218
                     20,                 1.3774,                 1.1699,                 1.3783,                0.85177,                0.79125,                0.86358,                 0.5008,                 1.3156,                0.90585,                 1.3527,               0.008119,               0.008119,               0.008119
                     21,                 1.3715,                 1.1535,                 1.3752,                0.82938,                0.78657,                0.84036,                0.49135,                 1.2909,                0.92904,                  1.328,                0.00802,                0.00802,                0.00802
                     22,                 1.3591,                 1.1343,                 1.3634,                0.85348,                0.78141,                0.83983,                0.48174,                 1.3089,                0.91991,                 1.3396,               0.007921,               0.007921,               0.007921
                     23,                  1.353,                 1.1235,                 1.3561,                0.84027,                0.77625,                0.84079,                0.49389,                 1.2991,                0.89715,                 1.3323,               0.007822,               0.007822,               0.007822
                     24,                 1.3357,                 1.0982,                 1.3512,                0.84571,                0.78303,                0.85472,                0.51323,                  1.274,                 0.8734,                 1.3099,               0.007723,               0.007723,               0.007723
                     25,                 1.3315,                 1.0821,                 1.3416,                0.86422,                0.82163,                0.86885,                0.53978,                 1.2385,                0.83751,                 1.3022,               0.007624,               0.007624,               0.007624
                     26,                 1.3154,                  1.077,                 1.3296,                0.86064,                0.80782,                0.88035,                  0.528,                 1.2424,                0.82762,                 1.3075,               0.007525,               0.007525,               0.007525
                     27,                 1.3145,                 1.0648,                 1.3346,                0.86044,                0.78525,                0.85785,                0.51565,                 1.2658,                0.86117,                 1.3151,               0.007426,               0.007426,               0.007426
                     28,                 1.3094,                 1.0517,                 1.3297,                0.86574,                0.79911,                0.86962,                 0.5236,                 1.2394,                0.81871,                 1.2899,               0.007327,               0.007327,               0.007327
                     29,                 1.2899,                 1.0383,                 1.3162,                0.82959,                0.80551,                 0.8673,                0.52917,                 1.2254,                0.83656,                 1.2807,               0.007228,               0.007228,               0.007228
                     30,                 1.2775,                 1.0266,                 1.3098,                0.83347,                0.79002,                0.86234,                0.54132,                 1.2238,                0.80967,                 1.2862,               0.007129,               0.007129,               0.007129
                     31,                 1.2812,                 1.0132,                 1.3052,                0.85196,                0.80234,                0.87178,                0.55403,                  1.185,                  0.784,                 1.2638,                0.00703,                0.00703,                0.00703
                     32,                 1.2768,                 1.0097,                 1.3027,                0.84168,                0.80526,                0.86698,                0.54611,                 1.1891,                 0.7972,                 1.2527,               0.006931,               0.006931,               0.006931
                     33,                 1.2517,                0.99269,                 1.2898,                0.86329,                0.82616,                0.88336,                0.56131,                  1.172,                0.78454,                 1.2431,               0.006832,               0.006832,               0.006832
                     34,                 1.2552,                 1.0037,                 1.2924,                0.83935,                0.83305,                0.87468,                0.55655,                 1.1829,                0.78354,                 1.2537,               0.006733,               0.006733,               0.006733
                     35,                 1.2437,                0.97923,                 1.2925,                0.85823,                0.81271,                0.87597,                0.55353,                 1.1831,                0.77768,                 1.2545,               0.006634,               0.006634,               0.006634
                     36,                 1.2348,                 0.9671,                 1.2812,                0.88233,                0.81067,                0.87997,                0.55773,                 1.1843,                0.75054,                  1.245,               0.006535,               0.006535,               0.006535
                     37,                 1.2366,                0.97369,                 1.2827,                0.85151,                0.82907,                0.87476,                0.56376,                 1.1707,                0.74094,                 1.2487,               0.006436,               0.006436,               0.006436
                     38,                 1.2283,                0.95378,                 1.2774,                0.86582,                0.81756,                0.88368,                0.57008,                 1.1581,                0.75478,                 1.2361,               0.006337,               0.006337,               0.006337
                     39,                 1.2169,                0.94643,                 1.2774,                0.87366,                0.82444,                0.89056,                0.56147,                 1.1925,                0.74825,                 1.2597,               0.006238,               0.006238,               0.006238
                     40,                 1.2175,                0.94206,                 1.2678,                0.84682,                0.84854,                 0.8891,                0.56908,                 1.1681,                0.73863,                 1.2455,               0.006139,               0.006139,               0.006139
                     41,                 1.2031,                0.93276,                 1.2622,                 0.8651,                0.80551,                0.88048,                0.56335,                 1.1738,                0.74875,                 1.2465,                0.00604,                0.00604,                0.00604
                     42,                 1.1938,                0.91493,                 1.2507,                0.87862,                0.82231,                0.89463,                 0.5721,                 1.1751,                 0.7266,                 1.2398,               0.005941,               0.005941,               0.005941
                     43,                 1.1946,                0.92701,                 1.2556,                0.85616,                0.82788,                0.89386,                0.58068,                  1.151,                 0.7228,                  1.224,               0.005842,               0.005842,               0.005842
                     44,                 1.1758,                0.89884,                 1.2388,                0.87319,                0.82961,                 0.9028,                 0.5844,                 1.1402,                0.72417,                  1.226,               0.005743,               0.005743,               0.005743
                     45,                 1.1804,                0.91061,                 1.2464,                0.86726,                0.81928,                0.88846,                0.58421,                 1.1142,                0.73469,                 1.2139,               0.005644,               0.005644,               0.005644
                     46,                 1.1734,                0.89357,                 1.2418,                0.86166,                0.83133,                0.90178,                0.59148,                 1.1061,                0.71162,                 1.1978,               0.005545,               0.005545,               0.005545
                     47,                 1.1538,                0.88229,                 1.2307,                0.87104,                0.81375,                0.89407,                0.59629,                 1.0842,                 0.7244,                 1.1962,               0.005446,               0.005446,               0.005446
                     48,                 1.1547,                0.87224,                 1.2374,                0.87034,                 0.8434,                0.90009,                0.59099,                 1.1113,                0.71428,                 1.2182,               0.005347,               0.005347,               0.005347
                     49,                 1.1526,                0.86238,                 1.2313,                0.87738,                0.83305,                0.89841,                0.59445,                 1.0938,                0.69043,                 1.1957,               0.005248,               0.005248,               0.005248
                     50,                 1.1518,                0.85827,                 1.2342,                0.86861,                 0.8306,                0.89965,                0.60081,                 1.0818,                0.70079,                 1.1842,               0.005149,               0.005149,               0.005149
                     51,                 1.1442,                 0.8674,                 1.2245,                0.87191,                0.81239,                0.89237,                0.59609,                 1.0934,                0.70697,                 1.1856,                0.00505,                0.00505,                0.00505
                     52,                 1.1266,                0.85589,                 1.2133,                0.87151,                0.81716,                0.89353,                0.59746,                 1.0862,                0.70087,                 1.1954,               0.004951,               0.004951,               0.004951
                     53,                 1.1245,                0.84939,                   1.22,                0.84785,                0.83993,                0.89762,                0.59877,                  1.065,                0.68337,                 1.1926,               0.004852,               0.004852,               0.004852
                     54,                 1.1181,                0.84012,                 1.2124,                 0.8601,                 0.8537,                0.90914,                   0.61,                 1.0787,                0.66618,                  1.197,               0.004753,               0.004753,               0.004753
                     55,                 1.1021,                0.83111,                 1.2031,                0.86671,                0.85886,                0.91514,                0.61082,                 1.0599,                0.66836,                 1.1732,               0.004654,               0.004654,               0.004654
                     56,                 1.0989,                0.82506,                  1.206,                0.88232,                0.83993,                0.90537,                0.60313,                 1.0821,                0.67046,                 1.1935,               0.004555,               0.004555,               0.004555
                     57,                 1.0991,                0.80805,                 1.2076,                0.88724,                0.84509,                0.90377,                0.60376,                 1.0874,                0.65688,                 1.2022,               0.004456,               0.004456,               0.004456
                     58,                 1.0952,                0.81776,                 1.2027,                0.86758,                0.86059,                0.89919,                 0.6027,                 1.0812,                0.66072,                 1.1941,               0.004357,               0.004357,               0.004357
                     59,                 1.0856,                0.80827,                 1.1979,                0.88899,                0.86059,                0.90951,                0.60811,                 1.0614,                0.66192,                 1.1771,               0.004258,               0.004258,               0.004258
                     60,                 1.0829,                0.80282,                 1.1925,                0.88098,                0.84087,                0.90789,                 0.6108,                 1.0642,                0.66957,                 1.1813,               0.004159,               0.004159,               0.004159
                     61,                 1.0758,                0.79944,                 1.1948,                0.87679,                0.85026,                0.91315,                0.62402,                 1.0356,                0.65366,                 1.1676,                0.00406,                0.00406,                0.00406
                     62,                 1.0662,                0.78643,                 1.1852,                0.88481,                0.84613,                0.90847,                0.62252,                 1.0243,                0.64936,                 1.1684,               0.003961,               0.003961,               0.003961
                     63,                 1.0613,                0.78814,                 1.1877,                0.88358,                0.83601,                0.90825,                0.61711,                  1.054,                 0.6514,                 1.1798,               0.003862,               0.003862,               0.003862
                     64,                 1.0617,                0.79165,                 1.1834,                0.84953,                0.86059,                 0.9104,                0.62811,                 1.0368,                0.64111,                 1.1612,               0.003763,               0.003763,               0.003763
                     65,                 1.0539,                 0.7769,                  1.179,                0.88263,                 0.8537,                 0.9175,                0.62762,                 1.0504,                0.63034,                 1.1722,               0.003664,               0.003664,               0.003664
                     66,                 1.0555,                 0.7627,                 1.1761,                0.87398,                0.83477,                0.90791,                0.62443,                 1.0329,                 0.6401,                 1.1597,               0.003565,               0.003565,               0.003565
                     67,                 1.0458,                0.76411,                 1.1712,                0.87685,                0.86403,                 0.9109,                0.62153,                 1.0363,                0.64937,                 1.1639,               0.003466,               0.003466,               0.003466
                     68,                 1.0408,                0.76557,                 1.1712,                0.88993,                0.84886,                 0.9145,                0.62276,                 1.0337,                0.64308,                 1.1621,               0.003367,               0.003367,               0.003367
                     69,                 1.0248,                0.75472,                   1.16,                0.87899,                 0.8537,                0.90933,                0.62558,                 1.0185,                0.64227,                 1.1619,               0.003268,               0.003268,               0.003268
                     70,                 1.0317,                0.75658,                 1.1702,                0.88308,                0.86231,                0.91309,                0.62778,                 1.0303,                0.63693,                 1.1668,               0.003169,               0.003169,               0.003169
                     71,                 1.0135,                0.74777,                 1.1572,                0.88521,                0.86403,                0.90919,                0.62392,                 1.0188,                0.64109,                 1.1597,                0.00307,                0.00307,                0.00307
                     72,                 1.0079,                0.73825,                 1.1552,                0.87954,                0.84203,                0.90464,                0.62987,                 1.0102,                0.63056,                 1.1584,               0.002971,               0.002971,               0.002971
                     73,                 1.0166,                0.73953,                 1.1572,                0.86623,                0.85817,                0.90076,                0.62846,                 1.0028,                0.62763,                 1.1542,               0.002872,               0.002872,               0.002872
