                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3792,                 1.6025,                 1.5082,                 0.2886,                0.35603,                0.23304,                0.07196,                 2.4086,                 3.2534,                 2.5549,             0.00055362,             0.00055362,             0.00055362
                      2,                 1.5484,                 1.7016,                 1.6273,                0.05297,                0.22581,                0.02755,                 0.0082,                 3.4648,                 176.24,                 34.586,              0.0010983,              0.0010983,              0.0010983
                      3,                 1.4992,                 1.6635,                 1.5959,                0.41699,                0.41816,                 0.3092,                0.12783,                 2.0721,                 2.7635,                 2.4313,               0.001632,               0.001632,               0.001632
                      4,                 1.4064,                 1.5868,                 1.5282,                0.36981,                0.32855,                0.26429,                0.12803,                 2.1603,                 2.4901,                 2.4804,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3594,                 1.5573,                 1.5059,                0.61681,                0.54361,                0.57161,                0.33773,                  1.629,                 1.9441,                 1.8562,               0.001601,               0.001601,               0.001601
                      6,                 1.2954,                 1.4632,                 1.4586,                0.63188,                0.55675,                 0.5944,                0.36219,                 1.5538,                 1.6729,                 1.7835,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2855,                 1.4383,                 1.4475,                0.62668,                0.54351,                0.56969,                0.35706,                 1.4861,                 1.6638,                 1.7649,               0.001568,               0.001568,               0.001568
                      8,                 1.2511,                 1.4022,                 1.4336,                0.69199,                0.55914,                0.60825,                0.39507,                 1.3721,                 1.5413,                 1.6739,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.2192,                 1.4005,                   1.42,                0.67397,                0.54839,                0.60795,                0.40643,                 1.4154,                 1.5336,                 1.6748,               0.001535,               0.001535,               0.001535
                     10,                 1.2046,                  1.362,                 1.4076,                0.71078,                0.57826,                0.64327,                0.43267,                    1.4,                  1.502,                 1.7395,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1672,                 1.3252,                 1.3877,                0.69128,                0.58303,                0.64539,                0.43138,                 1.2506,                 1.6011,                 1.5582,               0.001502,               0.001502,               0.001502
                     12,                 1.1683,                 1.3263,                 1.3848,                0.70073,                 0.6368,                0.67308,                 0.4684,                 1.2428,                 1.5758,                 1.5605,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.1527,                 1.2893,                  1.363,                0.72505,                0.55766,                0.65038,                0.44504,                 1.2399,                 1.3613,                 1.5367,               0.001469,               0.001469,               0.001469
                     14,                 1.1369,                 1.2979,                 1.3602,                0.68308,                0.56631,                0.62764,                0.41093,                 1.2187,                    1.6,                 1.5609,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1155,                 1.2552,                 1.3457,                0.72935,                0.53124,                 0.6515,                0.42727,                 1.2729,                 1.4608,                 1.5683,               0.001436,               0.001436,               0.001436
                     16,                 1.1356,                 1.2723,                 1.3659,                 0.7068,                0.60335,                0.66164,                0.45877,                 1.2069,                 1.2978,                  1.531,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1083,                 1.2571,                 1.3493,                0.73853,                 0.5675,                 0.6465,                0.44193,                 1.2866,                 1.4609,                 1.6062,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0992,                 1.2527,                 1.3378,                0.74001,                0.62007,                0.69605,                0.49002,                 1.1764,                 1.2704,                 1.4896,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0958,                 1.2259,                 1.3283,                0.73207,                0.59498,                0.67836,                0.46544,                  1.151,                 1.3092,                 1.4801,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0873,                 1.2129,                 1.3249,                0.65165,                0.64397,                0.67126,                0.47451,                 1.1729,                 1.3753,                 1.4956,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0414,                 1.1812,                 1.3047,                0.71649,                0.63321,                0.68587,                0.47487,                 1.2138,                 1.3656,                 1.5814,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0727,                 1.1859,                 1.3245,                 0.7251,                0.61451,                0.67898,                0.48427,                 1.1649,                 1.2756,                 1.4932,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0516,                 1.1847,                  1.309,                0.73873,                0.62127,                0.69873,                  0.496,                 1.1181,                 1.3249,                  1.454,              0.0013039,              0.0013039,              0.0013039
