                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60059,                 2.2867,                  1.152,                0.88736,                0.91546,                0.97095,                 0.7395,                 1.2515,                0.62888,                 1.3035,                      0,                      0,                      0
                      2,                0.79306,                  1.488,                 1.3161,                0.88581,                0.91757,                0.97236,                0.74115,                 1.2487,                  0.622,                  1.301,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.94631,                 2.3228,                 1.4598,                0.88652,                0.91737,                0.97239,                0.74954,                 1.2464,                0.61985,                 1.2957,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                0.77466,                 1.9522,                 1.2029,                0.88677,                0.91849,                0.97099,                0.73505,                 1.2467,                0.61972,                 1.2939,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.73961,                 1.2348,                 1.1262,                0.88776,                0.91999,                0.97102,                0.73535,                 1.2431,                0.61369,                 1.2944,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0975,                 2.5494,                 1.6112,                0.88946,                0.91712,                0.97008,                0.75101,                   1.24,                0.61362,                 1.2894,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                0.92653,                 1.2855,                 1.1821,                 0.8834,                0.91942,                 0.9701,                0.75098,                 1.2378,                0.61403,                 1.2882,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.54615,                0.71659,                 1.2122,                0.87723,                0.92166,                 0.9701,                0.75927,                 1.2342,                0.60947,                 1.2868,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.89682,                 1.8683,                 1.3219,                0.87821,                 0.9204,                0.97419,                0.76645,                 1.2282,                0.61622,                  1.285,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.72995,                0.79092,                 1.2379,                0.85158,                0.93123,                0.97245,                0.76479,                  1.222,                0.62088,                 1.2834,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.68058,                 1.0581,                 1.0699,                0.85757,                0.94748,                0.97591,                 0.7795,                 1.2323,                0.61611,                 1.2977,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.81576,                0.67479,                  1.331,                0.87563,                0.94348,                0.97592,                0.77111,                 1.2295,                0.61345,                 1.3003,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.52663,                0.73211,                 1.0463,                0.87235,                0.95656,                0.97759,                0.77195,                 1.2322,                0.61568,                 1.3034,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.73387,                0.80244,                 1.2239,                0.85122,                0.96572,                0.97758,                0.78961,                 1.2245,                0.62282,                 1.3031,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.77907,                0.55185,                 1.0224,                0.84991,                0.96587,                0.97759,                0.78166,                 1.2303,                0.63156,                 1.3055,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.87154,                0.61453,                 1.4043,                0.86035,                0.96667,                0.97761,                  0.774,                 1.2286,                0.64085,                 1.3094,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.60059,                0.88835,                 1.2706,                0.84723,                0.96689,                0.97764,                0.77443,                 1.2382,                0.65581,                  1.314,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.90071,                 1.1129,                 1.2768,                0.84723,                0.96689,                0.97764,                0.77443,                 1.2382,                0.65581,                  1.314,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.60307,                0.45532,                 1.2294,                0.85276,                0.96568,                0.97769,                0.78247,                 1.2345,                0.67199,                 1.3137,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                  0.607,                0.36651,                 1.0164,                0.85276,                0.96568,                0.97769,                0.78247,                 1.2345,                0.67199,                 1.3137,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.53985,                0.54287,                 1.0199,                0.85536,                0.96199,                0.97602,                0.78126,                  1.237,                0.69897,                  1.317,             1.9088e-05,             1.9088e-05,             1.9088e-05
